,wantedauthno,company,busino,title,saltpnm,sal,minsal,maxsal,region,holidaytpnm,minedubg,maxedubg,career,regdt,closedt,infosvc,wantedinfourl,wantednobileinfourl,zipcd,strtnmcd,basicaddr,detailaddr,emptpcd,jobscd,smodifydtm,prefcd
541,KJK6002012100022,더화성재가노인복지센터,1438001889,재가요양보호사 모집,시급,10900원,10900,0,경기 화성시,주5일근무,학력무관,,관계없음,20-12-10,채용시까지  21-01-11,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KJK6002012100022,,18328,415904430995,경기도 화성시 봉담읍 와우로34번길 30,쌍용아파트,11,550100,202012101754,12|B
542,K140132012100051,한결아동발달지원센터,8119600169,[경북영천]언어재활사 모집,시급,10000원 ~ 35000원,10000,35000,경북 영천시,주5일근무,학력무관,,관계없음,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K140132012100051,,38865,472303310019,경상북도 영천시 영화로 336,세종빌딩 3층,11,306901,202012101754,
543,K140022012100061,프로텍트엠,5142185181,[주5일] 쇼핑몰 감각적인 웹디자이너를 모십니다,월급,220만원 ~ 240만원,2200000,2400000,대구 남구,주5일근무,학력무관,,경력,20-12-10,20-12-29,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K140022012100061,,42424,272004232315,대구광역시 남구 중앙대로48길 15,갑인빌딩 B1 프로텍트엠,10,415501,202012101754,
544,KJDE002012100010,으뜸노인재활주간보호센터,7798001709,주간보호센터 사회복지사 구인,월급,187만원,1870000,0,인천 남동구,주5일근무,고졸,,관계없음,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=KJDE002012100010,,21604,282003149061,인천광역시 남동구 매소홀로 1118,201호,10,231100,202012101754,12
545,K140022012100060,지원재가노인복지센터,7468001728,요양보호사 모집,시급,10850원,10850,0,대구 중구,,학력무관,,관계없음,20-12-10,20-12-15,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K140022012100060,,41925,271103141003,대구광역시 중구 달성공원로 34-1,,10,550104,202012101753,
546,K140022012100059,씨앤에스어학원,5829000293,"유치원 1년 이상 경력 교사 모집 (몬테소리, 부...",월급,180만원,1800000,0,대구 남구,주5일근무,대졸(2~3년),,경력,20-12-10,채용시까지  21-02-09,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K140022012100059,,42488,272004232323,대구광역시 남구 큰골2길 14,,10,213000,202012101753,
547,K140132012100050,(주)매스터씨앤디,5158507064,[급구] 품질담당업무 모집(경력3년이상),연봉,3200만원,32000000,0,경북 영천시,주5일근무,대졸(2~3년),,경력,20-12-10,20-12-25,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K140132012100050,,770912,472303310006,경상북도 영천시 대창면 금창로 632-8,,10,028404,202012101753,
548,K161222012100019,주식회사 삼부,4018150207,특장차 자재 직원 채용,연봉,2200만원,22000000,0,전북 김제시,주5일근무,학력무관,,관계없음,20-12-10,21-01-31,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K161222012100019,,576150,452104616461,전라북도 김제시 서흥공단2길 38,,10,028302,202012101753,
549,K140132012100049,청풍N.P,2701401186,생산직 채용합니다,월급,210만원 ~ 230만원,2100000,2300000,경북 경산시,주5일근무,학력무관,,신입,20-12-10,채용시까지  21-01-26,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K140132012100049,,38539,472904739008,경상북도 경산시 압량읍 가일길 141,청풍,10,881103,202012101753,13
550,K140142012100028,산수골농장군위,5089089489,양돈장 현장 인원 구인,시급,8950원,8950,0,경북 군위군,주6일근무,학력무관,,관계없음,20-12-10,채용시까지  21-01-31,VALIDATION,http://www.work.go.kr/empDetailRedirect.do?wantedAuthNo=K140142012100028,,39029,477204742124,경상북도 군위군 효령면 불곡길 73-4,산수골농장군위,10,902200,202012101753,
